flat_type,location1,buildupArea_sqft,age_of_property,furnishing,bedrooms,bathrooms,balcony,parking,Flat_price
1,Mira Road East,515,recent construction,Unfurnished,1,2,2,1,7500
2,Andheri West,600,recent construction,Unfurnished,2,2,0,1,21500
3,Chembur,1260,recent construction,Unfurnished,3,3,4,1,37500
1,Virar West,738,recent construction,Semi Furnished,1,1,2,1,2900
1,Borivali West,750,new construction,Semi Furnished,1,1,0,0,12300
1,Borivali West,400,recent construction,Unfurnished,1,2,3,0,9500
2,Kandivali East,925,modern property,Unfurnished,2,2,0,1,20500
1,Virar West,650,recent construction,Semi Furnished,1,2,2,1,2800
4,Santacruz West,2100,modern property,Fully Furnished,4,4,2,1,135000
1,Naigaon East,590,recent construction,Semi Furnished,1,2,2,1,3500
6,Andheri West,2800,recent construction,Semi Furnished,6,2,0,1,135000
1,Mulund East,500,modern property,Unfurnished,1,2,0,1,11500
1,Naigaon East,500,recent construction,Unfurnished,1,1,3,1,2500
2,Kanjurmarg East,1050,recent construction,Semi Furnished,2,2,1,1,19000
1,Naigaon East,609,recent construction,Unfurnished,1,1,3,1,3300
2,Virar West,750,new construction,Semi Furnished,2,2,3,0,4600
4,Goregaon East,1700,recent construction,Semi Furnished,4,5,1,1,84000
1,Mira Road East,700,new construction,Semi Furnished,1,2,2,1,5900
1,Govandi,650,recent construction,Semi Furnished,1,2,0,1,16000
1,Jogeshwari East,410,new construction,Semi Furnished,1,2,2,1,12500
3,Powai,1500,recent construction,Unfurnished,3,2,1,1,33500
2,Kandivali East,1250,recent construction,Semi Furnished,2,2,3,1,25000
4,Andheri West,1500,recent construction,Unfurnished,4,3,4,1,47900
3,Kandivali East,1295,new construction,Unfurnished,3,2,1,1,33500
3,Mahim,1250,modern property,Fully Furnished,3,3,0,1,57500
2,Mira Road East,1000,modern property,Semi Furnished,2,2,3,1,6500
3,Santacruz East,1770,new construction,Unfurnished,3,3,0,1,55000
2,Vasai East,1070,recent construction,Unfurnished,2,2,3,1,6800
1,Bhandup West,600,recent construction,Semi Furnished,1,1,2,1,10400
3,Borivali East,1350,recent construction,Unfurnished,3,1,0,1,52500
3,Dadar East,1600,recent construction,Unfurnished,3,3,0,1,55000
2,Govandi,1230,new construction,Unfurnished,2,2,1,1,23500
1,Mulund East,655,mid age property,Semi Furnished,1,2,0,0,10500
1,Mira Road East,705,new construction,Unfurnished,1,2,2,1,8000
2,Kandivali East,900,modern property,Semi Furnished,2,2,0,1,17000
1,Andheri East,600,new construction,Unfurnished,1,2,0,1,10500
1,Mira Road East,730,new construction,Semi Furnished,1,2,0,1,7300
2,Parel,850,new construction,Semi Furnished,2,2,0,1,38000
3,Vile Parle West,1100,recent construction,Unfurnished,3,3,0,1,55000
1,Nalasopara West,530,recent construction,Semi Furnished,1,2,3,1,2200
1,Bhayandar West,500,modern property,Fully Furnished,1,1,0,1,8500
2,Mumbai Central,900,recent construction,Semi Furnished,2,2,0,1,27000
3,Borivali West,1670,new construction,Unfurnished,3,4,1,1,28500
3,Goregaon East,980,recent construction,Semi Furnished,2,1,0,1,41000
6,Powai,3500,recent construction,Semi Furnished,6,6,3,1,132500
1,Malad West,500,modern property,Semi Furnished,1,1,0,1,7500
3,Borivali East,1395,new construction,Semi Furnished,3,3,0,1,47500
2,Sion,955,recent construction,Unfurnished,2,2,1,1,36500
1,Andheri East,395,new construction,Semi Furnished,1,1,0,1,13500
1,Virar West,550,recent construction,Semi Furnished,1,2,2,1,2900
2,Mulund East,858,modern property,Semi Furnished,2,2,0,0,14000
2,Powai,780,recent construction,Unfurnished,2,2,0,1,19000
3,Goregaon East,1800,modern property,Unfurnished,3,3,3,1,14500
1,Worli,800,recent construction,Fully Furnished,1,1,0,1,27500
3,Kanjurmarg East,1100,new construction,Unfurnished,3,3,0,1,30000
2,Nalasopara West,750,recent construction,Semi Furnished,2,2,2,1,4500
2,Thane West,890,recent construction,Semi Furnished,2,1,0,1,10000
2,Dadar East,950,recent construction,Semi Furnished,2,2,1,1,33800
1,Wadala East,585,modern property,Semi Furnished,1,1,0,0,12100
3,Matunga East,1890,new construction,Semi Furnished,3,3,1,1,55000
3,Lower Parel,1462,new construction,Semi Furnished,3,1,0,1,62000
2,Andheri West,570,modern property,Fully Furnished,2,3,0,0,12500
1,Kandivali East,802,new construction,Unfurnished,1,2,0,1,12500
3,Bandra West,3400,modern property,Semi Furnished,3,3,2,1,80000
2,Churchgate,905,mid age property,Semi Furnished,2,2,0,1,47500
2,Naigaon East,850,recent construction,Semi Furnished,2,1,4,1,4900
3,Andheri West,1800,modern property,Semi Furnished,3,3,0,1,55000
4,Sion,2880,recent construction,Unfurnished,4,3,1,1,80000
2,Vasai West,1125,recent construction,Semi Furnished,2,1,0,1,9000
2,Agripada,1100,new construction,Unfurnished,2,2,1,1,32500
1,Dahisar East,540,mid age property,Semi Furnished,1,1,0,1,9200
1,Naigaon East,500,recent construction,Unfurnished,1,1,2,1,2500
1,Kandivali East,550,modern property,Semi Furnished,1,2,0,0,10000
2,Kanjurmarg West,650,recent construction,Unfurnished,2,2,0,1,12000
3,Bandra East,1800,recent construction,Unfurnished,3,2,0,1,70000
1,Virar West,610,recent construction,Semi Furnished,1,2,2,1,3400
3,Kandivali East,1400,modern property,Semi Furnished,3,3,0,1,26500
2,Dahisar West,950,recent construction,Unfurnished,2,2,0,1,17000
2,Chembur,890,new construction,Unfurnished,2,2,0,1,15500
2,Malad West,1050,recent construction,Unfurnished,2,2,0,1,17500
2,Chembur,1400,modern property,Unfurnished,2,2,1,1,28500
2,Kandivali East,1000,modern property,Fully Furnished,2,2,0,1,18700
4,Mulund West,2170,recent construction,Semi Furnished,4,4,1,1,66000
2,Kanjurmarg West,661,recent construction,Semi Furnished,2,2,0,1,17200
4,Govandi,1650,recent construction,Semi Furnished,4,4,0,1,45000
3,Bhandup West,1250,recent construction,Semi Furnished,3,3,1,1,25600
2,Borivali West,735,mid age property,Semi Furnished,2,2,0,1,15500
2,Bhandup West,880,new construction,Unfurnished,2,2,0,1,14500
2,Matunga East,890,modern property,Semi Furnished,2,2,0,1,27500
3,Mahalakshmi,1550,new construction,Semi Furnished,3,3,0,0,62500
3,Dadar West,1365,recent construction,Semi Furnished,3,3,0,1,65000
3,Sion,1500,recent construction,Unfurnished,3,2,4,1,37500
2,Borivali West,1050,recent construction,Unfurnished,2,2,0,1,14400
1,Powai,570,modern property,Fully Furnished,1,2,0,0,11400
3,Dahisar West,1250,modern property,Semi Furnished,3,3,3,1,27000
1,Kandivali East,525,modern property,Unfurnished,1,2,0,1,10000
2,Andheri West,950,new construction,Fully Furnished,2,2,0,1,31500
2,Powai,1070,recent construction,Semi Furnished,2,2,0,1,25000
4,Kandivali East,1320,modern property,Semi Furnished,4,2,0,1,21000
2,Goregaon East,628,new construction,Unfurnished,2,2,0,1,17200
3,Santacruz West,1500,recent construction,Fully Furnished,3,1,0,1,67500
1,Chembur,600,recent construction,Semi Furnished,1,2,0,1,15500
2,Santacruz West,1200,modern property,Unfurnished,2,2,0,1,60000
3,Andheri West,2200,recent construction,Fully Furnished,3,3,3,1,60000
3,Kandivali East,1150,modern property,Semi Furnished,3,3,0,1,19000
2,Borivali West,1020,recent construction,Semi Furnished,2,2,0,1,18000
3,Andheri West,1500,recent construction,Unfurnished,3,4,1,1,32500
3,Mulund West,1350,recent construction,Semi Furnished,3,2,1,1,19000
1,Bhandup West,450,new construction,Semi Furnished,1,2,0,0,8000
2,Chembur,950,new construction,Unfurnished,2,2,0,1,20000
2,Thane West,650,recent construction,Fully Furnished,2,2,1,1,10000
2,Cuffe Parade,1400,mid age property,Fully Furnished,2,3,2,1,92500
2,Virar West,750,recent construction,Semi Furnished,2,2,3,1,4200
3,Malad West,988,new construction,Unfurnished,3,3,3,1,20800
2,Goregaon West,950,new construction,Fully Furnished,2,2,0,1,22500
2,Chembur,750,recent construction,Unfurnished,2,2,0,1,18000
1,Mulund East,630,modern property,Semi Furnished,1,1,0,0,11500
2,Dahisar West,1050,recent construction,Semi Furnished,2,2,0,1,14000
1,Virar West,650,recent construction,Semi Furnished,1,1,2,1,2900
3,Dadar West,1850,recent construction,Fully Furnished,3,3,0,1,65000
3,Bandra West,2500,recent construction,Semi Furnished,3,3,0,1,68000
2,Andheri West,950,mid age property,Fully Furnished,2,2,0,1,23500
2,Goregaon East,740,recent construction,Semi Furnished,2,2,0,1,20000
3,Goregaon East,1750,recent construction,Semi Furnished,3,3,3,1,33500
2,Kandivali East,1010,recent construction,Unfurnished,2,2,0,1,18500
3,Govandi,1700,recent construction,Semi Furnished,3,3,1,1,23500
4,Byculla,2140,new construction,Unfurnished,4,4,0,1,84000
2,Santacruz East,880,recent construction,Semi Furnished,2,2,0,1,25000
2,Virar West,830,recent construction,Fully Furnished,2,2,3,1,5500
2,Khar West,1000,recent construction,Semi Furnished,2,2,1,1,31000
2,Borivali East,630,new construction,Unfurnished,2,2,0,1,15500
1,Goregaon West,600,modern property,Unfurnished,1,2,0,0,10500
3,Mira Road East,1500,recent construction,Semi Furnished,3,3,1,1,15000
3,Andheri West,1800,modern property,Semi Furnished,3,3,3,1,45000
6,Borivali East,2700,new construction,Semi Furnished,6,6,0,1,90000
3,Mulund West,1250,recent construction,Semi Furnished,3,2,3,1,26000
2,Mahim,700,mid age property,Semi Furnished,2,2,0,1,27000
1,Mira Road East,650,modern property,Unfurnished,1,1,0,1,6000
3,Bhandup West,1210,recent construction,Semi Furnished,3,4,1,1,32500
1,Andheri East,720,recent construction,Fully Furnished,1,2,3,1,11500
2,Kanjurmarg West,560,recent construction,Semi Furnished,2,2,0,1,18000
2,Powai,1150,new construction,Semi Furnished,2,2,2,1,29900
2,Kandivali West,950,recent construction,Semi Furnished,2,3,0,1,14000
1,Vasai East,575,new construction,Unfurnished,1,1,3,1,2700
2,Chembur,820,recent construction,Unfurnished,2,1,0,1,25500
1,Chembur,750,new construction,Semi Furnished,1,2,0,1,13000
2,Wadala East,955,recent construction,Unfurnished,2,2,0,1,17000
3,Andheri West,1556,modern property,Fully Furnished,3,3,2,1,47000
2,Mira Road East,1150,recent construction,Semi Furnished,2,3,0,1,10000
1,Mira Road East,600,modern property,Semi Furnished,1,2,1,1,6500
2,Bhayandar West,1000,modern property,Semi Furnished,2,1,0,1,15500
3,Khar West,1023,recent construction,Semi Furnished,3,3,2,1,50000
3,Borivali West,1100,modern property,Semi Furnished,3,3,0,1,23500
3,Borivali East,1200,new construction,Unfurnished,3,3,0,1,45000
1,Bhayandar East,650,new construction,Semi Furnished,1,1,0,1,8800
1,Wadala East,520,recent construction,Semi Furnished,1,1,0,1,12800
4,Santacruz West,1800,modern property,Semi Furnished,4,4,0,1,85000
2,Powai,1050,recent construction,Fully Furnished,2,2,0,1,37000
2,Borivali East,1110,recent construction,Unfurnished,2,2,0,1,16800
2,Matunga East,885,new construction,Semi Furnished,2,2,0,1,42500
3,Kandivali East,1500,recent construction,Unfurnished,3,3,0,1,23000
1,Andheri West,650,recent construction,Unfurnished,1,2,0,1,17600
3,Goregaon East,1800,recent construction,Fully Furnished,3,3,1,1,18000
3,Kandivali East,1750,recent construction,Semi Furnished,3,3,2,1,36000
3,Andheri West,1775,recent construction,Semi Furnished,3,3,1,1,43500
2,Mira Road East,920,new construction,Unfurnished,2,2,3,0,13400
4,Vile Parle West,2200,modern property,Fully Furnished,4,4,0,1,94500
1,Vasai East,690,recent construction,Semi Furnished,1,2,2,1,3400
2,Bhayandar West,950,modern property,Semi Furnished,2,1,0,1,13500
1,Mira Road East,750,new construction,Unfurnished,1,2,1,1,8200
1,Borivali West,600,recent construction,Unfurnished,1,2,0,1,12500
2,Parel,740,new construction,Unfurnished,2,1,0,1,37500
4,Dadar East,2350,recent construction,Semi Furnished,4,2,0,1,105000
1,Andheri East,460,mid age property,Fully Furnished,1,1,2,0,13000
1,Nalasopara West,510,recent construction,Semi Furnished,1,1,0,1,3000
1,Virar West,750,recent construction,Semi Furnished,1,1,1,1,3000
2,Kandivali East,1830,new construction,Unfurnished,2,3,0,1,32000
1,Mulund West,500,recent construction,Fully Furnished,1,2,0,0,9000
3,Sakinaka,1360,recent construction,Semi Furnished,3,3,1,1,21500
2,Powai,1000,modern property,Semi Furnished,2,2,1,1,18500
2,Wadala,660,recent construction,Semi Furnished,2,1,0,1,21500
4,Chembur,3100,recent construction,Semi Furnished,3,3,1,1,87500
3,Borivali West,1250,new construction,Unfurnished,3,3,0,1,25700
1,Virar West,620,recent construction,Unfurnished,1,1,2,1,2800
2,Vile Parle East,752,new construction,Unfurnished,2,2,0,1,34700
1,Andheri West,450,modern property,Fully Furnished,1,1,0,1,12500
3,Jogeshwari West,1300,modern property,Unfurnished,3,3,0,1,37000
2,Andheri West,1250,recent construction,Fully Furnished,2,2,3,1,40000
2,Goregaon West,650,recent construction,Semi Furnished,2,1,0,1,21000
1,Dahisar West,525,modern property,Unfurnished,1,1,0,0,9200
3,Malad East,1100,modern property,Unfurnished,3,2,0,1,26000
2,Mulund East,920,mid age property,Semi Furnished,2,3,0,0,15000
4,Khar West,3000,new construction,Semi Furnished,4,4,1,1,120000
2,Prabhadevi,1100,mid age property,Semi Furnished,2,2,0,1,50000
2,Chembur,750,recent construction,Semi Furnished,2,2,0,1,14000
2,Goregaon East,1200,recent construction,Semi Furnished,2,2,0,1,24000
2,Dahisar East,900,recent construction,Semi Furnished,2,2,0,1,18500
2,Andheri West,1050,recent construction,Unfurnished,2,2,1,1,23500
2,Andheri West,1100,modern property,Unfurnished,2,2,0,1,32500
1,Malad West,450,recent construction,Semi Furnished,1,1,0,1,5300
3,Chembur,1000,recent construction,Semi Furnished,3,1,0,1,26000
1,Virar West,650,recent construction,Unfurnished,1,1,1,1,2900
1,Kandivali West,410,modern property,Unfurnished,1,2,0,0,5400
3,Andheri East,1670,recent construction,Fully Furnished,3,3,0,1,33000
2,Mulund West,1004,new construction,Unfurnished,2,2,0,1,16000
3,Malad West,1020,modern property,Unfurnished,3,2,0,1,25000
3,Borivali West,1200,mid age property,Semi Furnished,3,3,1,1,30000
1,Kandivali East,625,recent construction,Semi Furnished,1,2,0,1,9500
3,Goregaon East,1100,recent construction,Unfurnished,3,3,0,1,30000
2,Mulund East,710,modern property,Semi Furnished,2,2,0,1,16800
1,Chembur,700,recent construction,Unfurnished,1,2,0,1,11000
2,Mira Road East,1050,recent construction,Unfurnished,2,2,3,0,10500
1,Naigaon East,500,recent construction,Unfurnished,1,1,2,1,2400
1,Goregaon East,544,modern property,Fully Furnished,1,1,0,0,5200
2,Dahisar West,800,modern property,Unfurnished,2,2,0,1,11500
1,Mira Road East,700,recent construction,Unfurnished,1,2,3,0,6000
2,Vile Parle East,735,new construction,Unfurnished,2,2,0,1,26800
2,Bhandup West,950,recent construction,Fully Furnished,2,2,1,1,17700
2,Kandivali West,850,new construction,Fully Furnished,2,2,0,1,21500
3,Parel,2149,new construction,Unfurnished,3,4,0,1,59500
2,Borivali West,1050,modern property,Unfurnished,2,2,0,1,13500
1,Powai,600,modern property,Semi Furnished,1,2,0,1,9700
3,Dahisar West,1200,new construction,Semi Furnished,3,3,2,1,30000
2,Andheri East,1100,recent construction,Semi Furnished,2,2,1,1,25500
1,Bhandup West,683,recent construction,Semi Furnished,1,1,0,1,9000
1,Mulund East,800,mid age property,Semi Furnished,1,2,0,1,10000
3,Santacruz West,1740,recent construction,Semi Furnished,3,3,0,1,90000
1,Mira Road East,665,recent construction,Semi Furnished,1,1,2,1,7100
3,Mulund West,1280,recent construction,Semi Furnished,3,2,0,1,15700
3,Kandivali West,1380,recent construction,Unfurnished,3,3,0,1,21500
1,Nalasopara West,545,recent construction,Semi Furnished,1,1,1,1,2400
3,Borivali East,1515,new construction,Unfurnished,3,3,0,1,46800
2,Wadala East,1200,recent construction,Semi Furnished,2,2,1,1,31000
3,Santacruz West,2400,modern property,Fully Furnished,3,2,0,1,70000
2,Mazgaon,1500,modern property,Semi Furnished,2,2,0,1,41000
1,Mira Road East,696,new construction,Semi Furnished,1,2,3,1,7800
4,Santacruz West,1800,recent construction,Semi Furnished,4,2,0,1,82500
1,Naigaon East,610,new construction,Unfurnished,1,1,2,1,3300
2,Mulund East,750,recent construction,Semi Furnished,2,2,0,1,21500
2,Mira Road East,672,new construction,Semi Furnished,2,2,3,0,9000
1,Kandivali East,400,recent construction,Semi Furnished,1,1,0,1,7000
5,Mulund East,2100,modern property,Fully Furnished,5,4,1,1,55000
1,Santacruz West,580,new construction,Unfurnished,1,2,0,1,27500
2,Virar West,850,recent construction,Semi Furnished,2,2,3,1,5200
2,Borivali East,850,recent construction,Unfurnished,2,2,0,1,17500
2,Kandivali East,1150,recent construction,Unfurnished,2,2,1,1,29500
2,Ghatkopar East,671,new construction,Semi Furnished,2,2,1,0,17500
3,Bhandup West,1320,recent construction,Unfurnished,3,2,1,1,42700
3,Andheri West,765,new construction,Semi Furnished,3,2,0,1,23000
3,Mahim,1010,new construction,Semi Furnished,3,2,1,1,36000
3,Kandivali East,1250,modern property,Fully Furnished,3,2,0,1,20000
1,Chembur,620,recent construction,Unfurnished,1,1,0,0,10500
2,Virar West,900,recent construction,Unfurnished,2,2,0,1,4300
1,Borivali East,657,recent construction,Unfurnished,1,2,2,1,8800
3,Colaba,2030,modern property,Semi Furnished,2,1,0,1,85000
3,Byculla,1810,new construction,Semi Furnished,3,3,1,1,95000
1,Chembur,750,modern property,Semi Furnished,1,2,0,1,11100
3,Matunga East,2000,new construction,Semi Furnished,3,1,0,1,80000
3,Bandra East,1208,modern property,Fully Furnished,3,3,0,1,52500
2,Parel,1042,recent construction,Semi Furnished,2,2,1,1,42500
1,Dahisar East,670,recent construction,Semi Furnished,1,2,2,1,5200
3,Kandivali East,1110,modern property,Semi Furnished,3,3,1,1,25000
3,Powai,1950,modern property,Semi Furnished,3,2,0,1,48500
3,Chembur,1760,new construction,Semi Furnished,3,3,1,1,52500
2,Goregaon East,870,recent construction,Semi Furnished,2,2,0,1,22000
1,Borivali West,600,new construction,Unfurnished,1,2,0,1,11500
3,Parel,1600,recent construction,Semi Furnished,3,1,0,1,45000
1,Jogeshwari West,568,recent construction,Semi Furnished,1,2,0,1,13500
1,Santacruz West,844,new construction,Unfurnished,1,2,0,1,30000
2,Kandivali East,800,modern property,Semi Furnished,2,2,0,1,14500
2,Malabar Hill,1400,recent construction,Semi Furnished,2,3,0,1,97500
2,Powai,1050,modern property,Semi Furnished,2,2,1,1,21000
2,Nalasopara West,860,recent construction,Fully Furnished,2,1,3,1,8500
2,Cuffe Parade,1030,mid age property,Fully Furnished,2,3,1,1,65000
4,Goregaon East,1450,new construction,Unfurnished,4,3,0,1,45000
4,Andheri West,1850,modern property,Fully Furnished,4,4,3,1,53000
2,Powai,1000,modern property,Semi Furnished,2,2,0,1,18500
3,Malad West,1350,recent construction,Unfurnished,3,3,1,1,25000
3,Mulund East,1200,recent construction,Unfurnished,3,1,0,1,24200
1,Dahisar West,650,recent construction,Semi Furnished,1,2,1,0,10500
1,Mira Road East,750,recent construction,Semi Furnished,1,2,3,1,8000
1,Chembur,550,recent construction,Fully Furnished,1,2,0,1,13000
1,Kandivali East,525,modern property,Unfurnished,1,2,0,1,9500
3,Andheri West,1850,recent construction,Semi Furnished,3,3,1,1,56000
1,Mulund West,600,recent construction,Fully Furnished,1,1,0,1,11200
1,Kandivali West,570,modern property,Unfurnished,1,2,0,1,9800
3,Prabhadevi,1450,modern property,Semi Furnished,3,3,0,1,55000
1,Goregaon West,550,modern property,Unfurnished,1,1,0,0,10000
3,Powai,1128,recent construction,Semi Furnished,3,3,0,1,26100
2,Goregaon East,796,new construction,Semi Furnished,2,2,0,1,18300
2,Vile Parle East,848,new construction,Unfurnished,2,2,0,1,43000
3,Andheri West,1150,mid age property,Semi Furnished,3,3,0,1,34000
2,Lower Parel,700,recent construction,Fully Furnished,2,2,0,1,22500
1,Chembur,550,new construction,Unfurnished,1,1,0,1,15000
2,Powai,1350,recent construction,Semi Furnished,2,2,0,1,32200
1,Prabhadevi,600,recent construction,Semi Furnished,1,1,0,1,17500
2,Powai,1200,new construction,Unfurnished,2,2,0,1,28000
2,Kanjurmarg West,738,recent construction,Unfurnished,2,2,0,1,17500
2,Andheri West,575,new construction,Unfurnished,2,2,0,1,16900
1,Dahisar East,500,new construction,Semi Furnished,1,2,0,1,9200
2,Bhayandar East,950,new construction,Semi Furnished,2,2,3,1,9100
1,Andheri West,550,modern property,Unfurnished,1,1,0,1,16000
3,Bandra West,1250,recent construction,Semi Furnished,3,2,0,1,55000
2,Andheri West,978,recent construction,Semi Furnished,2,2,2,1,26500
2,Goregaon East,1290,recent construction,Semi Furnished,2,2,3,1,24000
3,Boisar,1050,recent construction,Semi Furnished,2,4,0,1,4300
2,Andheri West,900,modern property,Semi Furnished,2,2,0,1,23500
2,Powai,950,recent construction,Semi Furnished,2,1,0,1,23500
3,Kandivali East,1600,recent construction,Unfurnished,3,3,3,1,42500
3,Goregaon East,1820,recent construction,Semi Furnished,3,3,2,1,48000
1,Andheri East,650,modern property,Fully Furnished,1,1,0,1,11000
1,Nalasopara West,640,recent construction,Semi Furnished,1,2,2,1,2800
2,Kanjurmarg East,819,recent construction,Semi Furnished,2,2,0,1,15500
2,Byculla,950,modern property,Fully Furnished,2,2,0,1,35000
1,Borivali East,512,modern property,Unfurnished,1,2,0,0,12400
4,Malad West,1650,recent construction,Semi Furnished,4,3,0,1,50200
2,Kanjurmarg West,1150,recent construction,Semi Furnished,2,1,0,1,18300
3,Sion,850,modern property,Fully Furnished,3,3,0,0,16000
1,Virar West,530,modern property,Semi Furnished,1,1,0,1,3400
3,Mulund West,1400,modern property,Fully Furnished,3,2,0,1,22500
2,Virar West,1085,new construction,Semi Furnished,2,2,3,1,5900
4,Ghatkopar West,2700,recent construction,Fully Furnished,4,4,2,1,71500
3,Kandivali East,1400,new construction,Unfurnished,3,3,3,1,32500
1,Powai,570,mid age property,Unfurnished,1,1,0,1,9500
2,Mulund West,735,recent construction,Semi Furnished,2,2,2,1,20000
3,Kandivali West,1750,modern property,Semi Furnished,3,3,0,1,37500
4,Santacruz West,2376,recent construction,Semi Furnished,4,4,0,1,110000
3,Powai,1690,modern property,Fully Furnished,3,2,1,1,70000
3,Chembur,1320,recent construction,Unfurnished,3,2,3,1,35000
2,Vile Parle East,774,new construction,Unfurnished,2,2,0,1,30000
2,Powai,1250,recent construction,Semi Furnished,2,2,1,1,34000
2,Mulund East,1050,modern property,Semi Furnished,2,2,0,1,23000
2,Vasai West,1000,recent construction,Semi Furnished,2,3,0,1,7000
2,Mira Road East,756,new construction,Unfurnished,2,2,1,1,13500
2,Goregaon East,875,modern property,Semi Furnished,2,2,0,0,7600
1,Kandivali West,467,recent construction,Unfurnished,1,2,0,1,9000
4,Mulund West,1959,new construction,Unfurnished,4,3,1,1,60000
3,Sion,1291,recent construction,Semi Furnished,3,2,2,1,34000
2,Dadar East,900,mid age property,Semi Furnished,2,2,0,1,35000
3,Borivali West,1100,recent construction,Unfurnished,3,3,0,1,26500
4,Khar West,2000,modern property,Unfurnished,4,4,0,1,100000
2,Mulund West,900,modern property,Semi Furnished,2,2,0,1,15000
2,Powai,950,mid age property,Semi Furnished,2,2,1,1,16600
1,Mira Road East,585,modern property,Semi Furnished,1,2,1,1,6500
2,Borivali East,1040,recent construction,Fully Furnished,2,2,2,0,19000
3,Bandra West,1300,modern property,Semi Furnished,3,2,0,1,52500
2,Dahisar West,1000,modern property,Unfurnished,2,2,0,1,14500
2,Parel,1250,recent construction,Semi Furnished,2,1,0,1,32500
1,Thane West,550,recent construction,Semi Furnished,1,2,0,1,6500
2,Jogeshwari West,746,new construction,Semi Furnished,2,2,0,1,19000
3,Byculla,1725,new construction,Semi Furnished,3,4,1,1,67500
1,Andheri East,525,mid age property,Semi Furnished,1,1,0,1,9500
3,Borivali West,900,new construction,Unfurnished,3,3,0,1,30000
3,Andheri East,1251,recent construction,Semi Furnished,3,3,1,1,37600
3,Santacruz West,2600,modern property,Fully Furnished,3,2,0,1,72500
3,Goregaon East,1690,recent construction,Semi Furnished,3,2,0,1,60000
2,Bhandup West,620,modern property,Semi Furnished,2,2,0,1,14500
2,Kandivali West,850,recent construction,Fully Furnished,2,2,2,1,17500
